gene	FR	FS	PR	PS	Tsil	Trepl	npop	nout
acer2	2	8	3	5	275.22	550.44	92	1
acer3	3	23	7	5	265.32	530.64	92	1
ache	14	40	3	7	616.77	1233.54	92	1
acin1a	93	145	26	27	1677.0600000000002	3354.1200000000003	92	1
acin1b	42	87	17	21	1261.26	2522.52	92	1
ackr4a	38	48	11	3	373.23	746.46	92	1
ackr4b	15	13	7	4	367.29	734.58	92	1
aclya	8	101	9	15	1082.0700000000002	2164.1400000000003	92	1
aclyb	22	71	8	16	1110.78	2221.56	92	1
acmsd	7	23	1	1	333.63	667.26	92	1
aco1	29	80	12	11	884.07	1768.14	92	1
aco2	31	85	12	24	774.1800000000001	1548.3600000000001	92	1
acod1	28	34	5	5	470.25	940.5	92	1
acot11b	7	44	3	5	572.22	1144.44	92	1
acot13	1	11	2	7	141.57	283.14	92	1
acot20	33	66	9	11	411.84000000000003	823.6800000000001	92	1
acot7	13	10	8	2	460.02000000000004	920.0400000000001	92	1
acot8	10	22	10	2	311.85	623.7	92	1
acot9.1	6	14	17	6	430.65000000000003	861.3000000000001	92	1
acox1	13	59	2	5	708.51	1417.02	92	1
acox3	21	35	15	6	686.07	1372.14	92	1
acp1	1	12	1	1	195.03	390.06	92	1
acp2	14	19	7	7	421.08000000000004	842.1600000000001	92	1
acp5a	30	34	10	9	346.5	693	92	1
acp6	18	21	5	2	421.74	843.48	92	1
acp7	8	18	7	10	435.6	871.2	92	1
acsbg2	44	68	14	11	759.33	1518.66	92	1
acsf2	26	36	8	11	625.35	1250.7	92	1
acsf3	30	47	15	14	577.1700000000001	1154.3400000000001	92	1
acsl1a	13	56	11	9	716.76	1433.52	92	1
acsl2	29	60	10	15	706.86	1413.72	92	1
acsl3a	27	36	15	12	711.8100000000001	1423.6200000000001	92	1
acsl3b	31	70	6	18	704.88	1409.76	92	1
acsl4a	30	39	12	10	705.87	1411.74	92	1
acsl5	20	49	7	11	677.1600000000001	1354.3200000000002	92	1
acsl6	15	33	11	19	715.77	1431.54	92	1
acss1	11	45	15	9	686.07	1372.14	92	1
acss2l	18	39	4	7	661.32	1322.64	92	1
acss3	22	45	13	8	686.07	1372.14	92	1
acta1b	0	12	0	8	374.22	748.44	92	1
acta2	0	19	0	8	374.22	748.44	92	1
actb1	0	29	0	8	372.24	744.48	92	1
actb2	1	9	0	5	372.24	744.48	92	1
actc1a	0	23	0	12	374.22	748.44	92	1
actl6a	1	31	4	5	425.70000000000005	851.4000000000001	92	1
actn1	4	48	5	7	935.22	1870.44	92	1
actn2b	8	58	4	9	886.0500000000001	1772.1000000000001	92	1
actn3b	3	32	18	16	889.0200000000001	1778.0400000000002	92	1
actn4	4	51	10	17	937.2	1874.4	92	1
actr1	0	17	1	2	373.23	746.46	92	1
actr10	2	29	2	7	414.81	829.62	92	1
actr5	24	35	6	8	622.71	1245.42	92	1
actr6	1	20	5	5	393.03000000000003	786.0600000000001	92	1
actr8	4	64	5	6	637.5600000000001	1275.1200000000001	92	1
acvr1l	3	53	0	8	501.93	1003.86	92	1
acvrl1	5	5	4	0	204.93	409.86	92	1
acyp1	9	2	4	3	111.87	223.74	92	1
ada	20	27	6	1	356.40000000000003	712.8000000000001	92	1
ada2a	31	33	9	8	501.93	1003.86	92	1
ada2b	16	21	5	15	499.95000000000005	999.9000000000001	92	1
adad1	46	56	25	11	548.46	1096.92	92	1
adad2	32	17	9	5	441.54	883.08	92	1
adal	18	30	5	6	345.51	691.02	92	1
adam10a	23	42	18	12	786.0600000000001	1572.1200000000001	92	1
adam11	24	48	18	13	771.5400000000001	1543.0800000000002	92	1
adam12	23	63	11	18	951.3900000000001	1902.7800000000002	92	1
adam15	8	21	10	11	982.4100000000001	1964.8200000000002	92	1
adam17a	33	43	12	10	771.21	1542.42	92	1
adam19a	22	52	10	14	950.4000000000001	1900.8000000000002	92	1
adam19b	35	44	12	11	866.58	1733.16	92	1
adam22	23	51	9	23	917.4000000000001	1834.8000000000002	92	1
adam8a	55	47	8	9	868.23	1736.46	92	1
adam9	33	48	18	10	807.84	1615.68	92	1
adamts1	37	88	4	11	936.5400000000001	1873.0800000000002	92	1
adamts10	23	84	6	21	1116.72	2233.44	92	1
adamts12	67	89	27	33	1545.39	3090.78	92	1
adamts13	83	117	24	17	1355.3100000000002	2710.6200000000003	92	1
adamts15a	46	80	6	4	943.47	1886.94	92	1
adamts17	45	68	13	9	1087.02	2174.04	92	1
adamts18	30	65	18	15	1240.47	2480.94	92	1
adamts3	26	35	25	16	1173.15	2346.3	92	1
adamts6	7	43	14	8	1110.78	2221.56	92	1
adamtsl2	39	60	11	13	933.57	1867.14	92	1
adamtsl3	93	155	30	29	1809.0600000000002	3618.1200000000003	92	1
adamtsl4	36	72	20	16	1177.1100000000001	2354.2200000000003	92	1
adamtsl5	9	16	10	9	540.5400000000001	1081.0800000000002	92	1
adamtsl7	4	2	11	0	687.0600000000001	1374.1200000000001	92	1
adap2	15	27	5	5	374.22	748.44	92	1
adar	43	107	17	20	1363.23	2726.46	92	1
adarb1a	16	47	1	7	759.6600000000001	1519.3200000000002	92	1
adarb1b	9	66	2	16	738.5400000000001	1477.0800000000002	92	1
adarb2	13	48	7	6	749.4300000000001	1498.8600000000001	92	1
adat1	16	20	11	9	483.12	966.24	92	1
adat2	9	1	2	1	185.13	370.26	92	1
adat3	25	18	14	9	348.48	696.96	92	1
adck1	9	30	3	7	513.8100000000001	1027.6200000000001	92	1
adck2	24	40	2	13	597.96	1195.92	92	1
adck5	6	35	3	15	574.2	1148.4	92	1
adcy2a	31	100	5	12	1237.5	2475	92	1
adcy3a	10	62	6	13	1113.75	2227.5	92	1
adcy5	41	41	23	13	1177.1100000000001	2354.2200000000003	92	1
adcy7	26	57	13	25	1097.91	2195.82	92	1
adcy8	14	50	13	13	1223.64	2447.28	92	1
adcy9	49	135	12	27	1445.4	2890.8	92	1
adcyap1a	5	19	9	4	218.13000000000002	436.26000000000005	92	1
adcyap1b	7	12	1	0	197.01000000000002	394.02000000000004	92	1
adcyap1r1a	12	25	5	5	475.20000000000005	950.4000000000001	92	1
adcyap1r1b	6	25	6	2	512.82	1025.64	92	1
add1	2	48	8	11	783.09	1566.18	92	1
add2	7	36	12	10	660.33	1320.66	92	1
add3a	18	32	17	8	690.0300000000001	1380.0600000000002	92	1
add3b	20	49	11	9	677.1600000000001	1354.3200000000002	92	1
adgb	89	84	39	24	1487.64	2975.28	92	1
adgra1a	34	62	8	16	662.3100000000001	1324.6200000000001	92	1
adgra2	56	133	9	26	1360.26	2720.52	92	1
adgra3	50	118	17	17	1355.3100000000002	2710.6200000000003	92	1
adgrb1a	31	96	25	14	1608.75	3217.5	92	1
adgrb2	42	131	18	18	1765.17	3530.34	92	1
adgrb3	12	87	4	13	1541.43	3082.86	92	1
adgrd1	28	44	7	4	875.1600000000001	1750.3200000000002	92	1
adgrd2	55	69	8	11	1088.67	2177.34	92	1
adgrf3a	78	33	42	14	1003.86	2007.72	92	1
adgrg1	43	26	19	15	638.5500000000001	1277.1000000000001	92	1
adgrg2a	82	53	18	8	759.33	1518.66	92	1
adgrg4a	68	51	27	27	1213.74	2427.48	92	1
adgrg6	46	45	24	18	1258.29	2516.58	92	1
adgrl1a	16	98	14	29	1515.69	3031.38	92	1
adgrl2a	16	116	8	24	1586.97	3173.94	92	1
adgrl3.1	16	86	19	23	1665.18	3330.36	92	1
adgrl4	39	41	7	4	738.5400000000001	1477.0800000000002	92	1
adgrv1	291	445	64	82	6136.02	12272.04	92	1
adhfe1	11	21	5	6	462.33000000000004	924.6600000000001	92	1
adi1	11	8	1	4	178.20000000000002	356.40000000000003	92	1
adipor1a	1	21	1	4	373.23	746.46	92	1
adipor2	13	20	15	5	429.66	859.32	92	1
adka	9	24	3	3	371.91	743.82	92	1
adkb	4	24	2	3	352.11	704.22	92	1
adm2a	6	10	1	1	170.28	340.56	92	1
adm2b	10	11	3	3	169.29000000000002	338.58000000000004	92	1
adma	11	15	5	2	165.33	330.66	92	1
admb	9	6	5	3	154.44	308.88	92	1
adnp2b	55	81	20	20	982.08	1964.16	92	1
adnpa	45	83	11	9	837.5400000000001	1675.0800000000002	92	1
adnpb	6	14	6	2	1058.31	2116.62	92	1
adoa	26	16	2	2	256.41	512.82	92	1
adob	6	7	3	1	254.43	508.86	92	1
adora1b	1	0	3	1	319.11	638.22	92	1
adora2aa	10	15	11	7	438.57	877.14	92	1
adora2ab	47	57	10	5	464.31	928.62	92	1
adora2b	11	36	2	2	349.47	698.94	92	1
adpgk	16	37	28	14	491.04	982.08	92	1
adpgk2	10	38	3	4	487.08000000000004	974.1600000000001	92	1
adprh	4	4	4	5	391.71000000000004	783.4200000000001	92	1
adprhl1	8	15	3	2	324.72	649.44	92	1
adprm	30	15	7	5	332.31	664.62	92	1
adprs	7	34	4	8	387.09000000000003	774.1800000000001	92	1
adra1aa	16	58	6	11	480.15000000000003	960.3000000000001	92	1
adra1ab	18	46	8	4	472.23	944.46	92	1
adra1d	29	67	9	10	497.97	995.94	92	1
adra2a	20	55	4	10	418.77000000000004	837.5400000000001	92	1
adra2b	9	39	11	18	526.6800000000001	1053.3600000000001	92	1
adra2c	7	52	7	5	446.49	892.98	92	1
adra2db	14	36	3	4	422.73	845.46	92	1
adrb1	12	27	1	7	395.01	790.02	92	1
adrb2a	22	29	10	5	419.76000000000005	839.5200000000001	92	1
adrb3a	18	32	5	7	458.70000000000005	917.4000000000001	92	1
adsl	4	35	3	7	477.18	954.36	92	1
adss1	5	44	5	5	453.42	906.84	92	1
adss2	11	22	8	7	455.40000000000003	910.8000000000001	92	1
adssl	12	37	5	4	469.26000000000005	938.5200000000001	92	1
aebp1	45	41	29	15	1012.7700000000001	2025.5400000000002	92	1
aebp2	3	21	2	2	442.53000000000003	885.0600000000001	92	1
afap1	23	54	3	9	810.1500000000001	1620.3000000000002	92	1
afap1l1a	23	51	12	14	781.11	1562.22	92	1
afap1l2	25	50	11	7	898.26	1796.52	92	1
afdna	32	105	22	40	1959.21	3918.42	92	1
aff1	83	79	25	25	1139.49	2278.98	92	1
aff2	53	86	27	18	1518.66	3037.32	92	1
aff3	65	64	17	25	1221.66	2443.32	92	1
aff4	36	67	16	13	1146.42	2292.84	92	1
afg1la	20	40	4	4	463.32000000000005	926.6400000000001	92	1
afg1lb	33	25	7	3	506.88	1013.76	92	1
afg3l2	9	45	12	15	788.0400000000001	1576.0800000000002	92	1
afmid	9	14	2	1	290.07	580.14	92	1
afp4	3	1	5	0	142.56	285.12	92	1
aftpha	47	40	19	16	853.38	1706.76	92	1
aftphb	35	11	25	11	701.9100000000001	1403.8200000000002	92	1
aga	4	9	7	4	335.61	671.22	92	1
agap1	39	67	27	17	1218.69	2437.38	92	1
agap2	56	105	29	19	1223.97	2447.94	92	1
agap3	33	49	22	11	1479.72	2959.44	92	1
agbl2	56	59	12	14	975.1500000000001	1950.3000000000002	92	1
agbl4	13	29	4	4	519.75	1039.5	92	1
agbl5	42	60	15	14	1028.28	2056.56	92	1
agfg1a	12	30	6	9	577.1700000000001	1154.3400000000001	92	1
agfg1b	28	26	4	4	464.31	928.62	92	1
agfg2	17	17	12	8	493.02000000000004	986.0400000000001	92	1
aggf1	43	49	3	8	768.57	1537.14	92	1
agk	16	23	4	7	419.76000000000005	839.5200000000001	92	1
agla	36	62	17	21	1565.52	3131.04	92	1
agmat	16	26	8	4	357.39000000000004	714.7800000000001	92	1
agmo	21	15	6	7	482.13	964.26	92	1
ago1	0	48	5	4	808.5	1617	92	1
ago2	3	62	1	8	874.1700000000001	1748.3400000000001	92	1
ago3b	0	56	1	10	874.1700000000001	1748.3400000000001	92	1
ago4	0	56	6	8	879.12	1758.24	92	1
agpat2	3	13	6	2	268.29	536.58	92	1
agpat3	13	24	7	8	374.22	748.44	92	1
agpat4	11	30	4	4	374.22	748.44	92	1
agpat5	7	30	3	4	369.27000000000004	738.5400000000001	92	1
agpat9l	4	23	1	8	440.55	881.1	92	1
agps	17	37	12	5	625.6800000000001	1251.3600000000001	92	1
agr1	8	7	5	0	165	330	92	1
agr2	2	8	1	1	165.33	330.66	92	1
agrn	98	123	50	37	2149.62	4299.24	92	1
agt	20	33	11	11	456.39000000000004	912.7800000000001	92	1
agtpbp1	21	63	9	18	1254.3300000000002	2508.6600000000003	92	1
agtr1b	13	40	5	13	363.33000000000004	726.6600000000001	92	1
agxta	8	17	5	5	388.08000000000004	776.1600000000001	92	1
agxtb	7	37	2	4	425.70000000000005	851.4000000000001	92	1
ahctf1	113	185	53	43	2648.25	5296.5	92	1
ahcy	6	31	7	6	429.66	859.32	92	1
ahcyl1	3	41	2	6	561.33	1122.66	92	1
ahcyl2b	8	37	3	3	596.97	1193.94	92	1
ahdc1	52	82	32	25	1526.5800000000002	3053.1600000000003	92	1
ahi1	78	84	14	14	1195.92	2391.84	92	1
ahnak	144	117	141	85	4088.3700000000003	8176.740000000001	92	1
ahr1b	42	34	18	11	843.48	1686.96	92	1
ahrra	38	59	2	17	682.11	1364.22	92	1
ahsa1b	10	27	0	6	334.62	669.24	92	1
aicda	18	22	3	2	235.29000000000002	470.58000000000004	92	1
aida	22	21	8	10	367.29	734.58	92	1
aif1l	2	13	0	2	146.52	293.04	92	1
aifm1	22	61	2	13	713.7900000000001	1427.5800000000002	92	1
aifm2	21	24	10	8	369.27000000000004	738.5400000000001	92	1
aifm4	21	30	10	9	557.37	1114.74	92	1
aig1	3	3	4	1	231.66000000000003	463.32000000000005	92	1
aimp1a	6	23	18	5	317.79	635.58	92	1
aimp2	11	25	1	3	309.87	619.74	92	1
aipl1	8	18	3	1	324.72	649.44	92	1
aire	13	22	14	8	524.7	1049.4	92	1
ajap1	12	30	2	6	391.05	782.1	92	1
ajm1	25	95	7	8	1080.0900000000001	2160.1800000000003	92	1
ajuba	14	28	15	10	720.0600000000001	1440.1200000000001	92	1
ak1	2	18	3	4	192.06	384.12	92	1
ak2	6	14	5	3	241.56	483.12	92	1
ak3	8	10	8	3	221.76000000000002	443.52000000000004	92	1
ak4	5	7	4	2	244.53	489.06	92	1
ak5	8	24	3	5	554.4	1108.8	92	1
ak6	1	10	1	2	173.25	346.5	92	1
ak7a	49	42	11	12	692.01	1384.02	92	1
ak7b	41	23	21	7	734.58	1469.16	92	1
ak8	4	3	5	3	442.53000000000003	885.0600000000001	92	1
ak9	140	124	32	24	1697.8500000000001	3395.7000000000003	92	1
akap10	23	34	4	5	607.86	1215.72	92	1
akap11	82	179	45	51	1878.0300000000002	3756.0600000000004	92	1
akap12a	173	113	56	23	2340.36	4680.72	92	1
akap12b	102	117	27	22	1461.5700000000002	2923.1400000000003	92	1
akap17a	33	68	7	16	678.15	1356.3	92	1
akap1b	67	80	17	12	839.5200000000001	1679.0400000000002	92	1
akap6	108	96	58	28	2191.86	4383.72	92	1
akap8l	9	24	14	11	693.99	1387.98	92	1
akap9	276	293	64	59	4054.05	8108.1	92	1
akip1	3	5	2	2	166.32000000000002	332.64000000000004	92	1
akirin1	1	5	1	2	186.12	372.24	92	1
akirin2	5	15	2	3	178.20000000000002	356.40000000000003	92	1
akna	56	44	31	26	1310.76	2621.52	92	1
akr1a1a	11	23	0	3	321.75	643.5	92	1
akr1a1b	9	22	9	3	449.46000000000004	898.9200000000001	92	1
akr7a3	15	28	2	6	356.40000000000003	712.8000000000001	92	1
akt1	0	26	6	5	469.26000000000005	938.5200000000001	92	1
akt1s1	16	27	9	8	351.45	702.9	92	1
akt2	4	21	4	5	478.17	956.34	92	1
akt3a	0	28	6	5	475.20000000000005	950.4000000000001	92	1
akt3b	6	16	12	9	504.90000000000003	1009.8000000000001	92	1
alad	3	16	2	6	328.68	657.36	92	1
alas1	12	51	9	13	623.7	1247.4	92	1
alas2	17	34	3	15	609.84	1219.68	92	1
alcama	37	29	0	0	568.26	1136.52	92	1
aldh16a1	28	38	11	10	767.58	1535.16	92	1
aldh18a1	16	39	10	11	691.02	1382.04	92	1
aldh1a2	8	30	2	4	513.8100000000001	1027.6200000000001	92	1
aldh1a3	9	24	3	4	501.93	1003.86	92	1
aldh1l1	29	70	12	14	893.97	1787.94	92	1
aldh1l2	15	69	7	14	920.7	1841.4	92	1
aldh3a2b	18	21	4	7	485.1	970.2	92	1
aldh3b1	13	37	4	7	465.3	930.6	92	1
aldh3b2	16	47	4	6	497.97	995.94	92	1
aldh4a1	14	32	3	7	551.4300000000001	1102.8600000000001	92	1
aldh5a1	19	31	3	7	503.91	1007.82	92	1
aldh6a1	5	39	4	13	521.73	1043.46	92	1
aldh7a1	1	45	1	2	551.1	1102.2	92	1
aldh8a1	6	22	10	9	493.02000000000004	986.0400000000001	92	1
aldh9a1a.1	25	45	4	12	531.63	1063.26	92	1
aldh9a1b	17	36	5	5	512.82	1025.64	92	1
aldoab	6	28	0	2	360.36	720.72	92	1
aldob	11	21	6	2	361.35	722.7	92	1
aldoca	6	38	1	5	360.36	720.72	92	1
aldocb	2	16	3	6	360.36	720.72	92	1
alg1	28	23	3	6	485.1	970.2	92	1
alg10	16	31	4	10	470.25	940.5	92	1
alg11	16	44	3	4	492.03000000000003	984.0600000000001	92	1
alg12	18	29	11	7	483.12	966.24	92	1
alg13	19	49	28	12	906.84	1813.68	92	1
alg14	4	19	5	1	282.15000000000003	564.3000000000001	92	1
alg2	12	48	2	7	401.94	803.88	92	1
alg3	12	37	4	8	435.6	871.2	92	1
alg5	7	33	4	5	319.77000000000004	639.5400000000001	92	1
alg6	17	29	7	10	501.93	1003.86	92	1
alg8	11	26	9	4	524.7	1049.4	92	1
alg9	10	36	7	6	607.86	1215.72	92	1
alkal1	7	3	0	2	155.43	310.86	92	1
alkbh1	6	7	3	0	283.14	566.28	92	1
alkbh2	23	18	2	3	255.42000000000002	510.84000000000003	92	1
alkbh3	9	14	5	7	297	594	92	1
alkbh4	22	27	5	3	277.2	554.4	92	1
alkbh5	9	29	2	8	408.87	817.74	92	1
alkbh6	9	26	3	4	232.65	465.3	92	1
alkbh7	12	18	4	8	228.69	457.38	92	1
alkbh8	31	26	12	13	724.6800000000001	1449.3600000000001	92	1
allc	17	15	3	3	394.02000000000004	788.0400000000001	92	1
alms1	196	146	54	42	2134.44	4268.88	92	1
alox12	39	48	10	5	664.2900000000001	1328.5800000000002	92	1
alox5a	29	71	7	10	668.25	1336.5	92	1
alp3	16	21	8	7	523.71	1047.42	92	1
alpi.1	13	60	3	7	533.61	1067.22	92	1
alpk1	76	78	9	10	1094.94	2189.88	92	1
alpk2	93	82	45	32	1438.47	2876.94	92	1
alpk3a	211	196	36	26	1794.8700000000001	3589.7400000000002	92	1
alpl	17	42	10	5	521.73	1043.46	92	1
als2b	69	108	31	30	1642.41	3284.82	92	1
alx1	5	9	5	2	315.81	631.62	92	1
alx3	7	26	5	7	363.33000000000004	726.6600000000001	92	1
alx4a	9	34	6	5	369.27000000000004	738.5400000000001	92	1
alx4b	5	38	3	5	365.31	730.62	92	1
alyref	2	18	0	4	268.29	536.58	92	1
amacr	15	33	3	6	388.08000000000004	776.1600000000001	92	1
ambra1b	39	114	49	22	1322.64	2645.28	92	1
amd1	1	14	1	2	333.63	667.26	92	1
amdhd1	9	25	5	4	428.67	857.34	92	1
amdhd2	12	24	10	5	402.93	805.86	92	1
amer2	21	43	8	12	689.0400000000001	1378.0800000000002	92	1
amh	28	28	22	3	514.8000000000001	1029.6000000000001	92	1
amigo1	22	41	4	4	504.90000000000003	1009.8000000000001	92	1
amigo3	29	61	13	9	555.39	1110.78	92	1
ammecr1	2	8	0	2	335.61	671.22	92	1
amn	13	19	7	5	470.25	940.5	92	1
amot	60	60	27	24	1087.02	2174.04	92	1
amotl2a	43	54	12	9	688.0500000000001	1376.1000000000001	92	1
ampd2b	16	61	6	12	820.71	1641.42	92	1
ampd3a	29	48	6	8	768.24	1536.48	92	1
ampd3b	27	60	10	5	779.46	1558.92	92	1
amph	18	31	8	9	760.32	1520.64	92	1
amt	9	19	1	4	409.86	819.72	92	1
anapc1	32	81	26	20	1946.3400000000001	3892.6800000000003	92	1
anapc10	0	6	1	3	185.13	370.26	92	1
anapc11	1	6	0	0	85.14	170.28	92	1
anapc13	0	8	0	2	74.25	148.5	92	1
anapc15	0	11	1	0	121.77000000000001	243.54000000000002	92	1
anapc16	0	2	0	1	107.91000000000001	215.82000000000002	92	1
anapc2	22	51	22	6	805.86	1611.72	92	1
anapc4	19	49	15	7	797.94	1595.88	92	1
anapc5	12	68	4	9	766.26	1532.52	92	1
anapc7	6	33	2	5	560.34	1120.68	92	1
and1	11	23	8	9	642.51	1285.02	92	1
and2	37	52	24	17	581.13	1162.26	92	1
and3	24	17	13	5	303.93	607.86	92	1
angel1	64	54	20	18	759.33	1518.66	92	1
angel2	9	14	13	6	541.53	1083.06	92	1
angpt1	7	37	7	7	524.7	1049.4	92	1
angpt2a	25	21	6	6	489.06	978.12	92	1
angpt2b	11	24	8	3	496.98	993.96	92	1
angptl1a	18	33	2	13	481.14000000000004	962.2800000000001	92	1
angptl1b	13	49	0	10	480.15000000000003	960.3000000000001	92	1
angptl2b	13	39	6	3	509.85	1019.7	92	1
angptl3	17	30	6	9	469.26000000000005	938.5200000000001	92	1
angptl4	18	44	8	6	464.31	928.62	92	1
angptl5	8	22	1	3	382.14000000000004	764.2800000000001	92	1
angptl6	27	38	8	7	509.19	1018.38	92	1
