BioSample,LibraryName,refGenome,Run,Organism,BioProject,fq1,fq2
HI.5093.003.IDT_i7_139---IDT_i5_139.FSH_021,lib_HI.5093.003.IDT_i7_139---IDT_i5_139.FSH_021,GCF_902500615.1_NSP_V7_genomic,10,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/HI.5093.003.IDT_i7_139---IDT_i5_139.FSH_021_R1.fastq.gz,/scratch/sjsmith/shunda/HI.5093.003.IDT_i7_139---IDT_i5_139.FSH_021_R2.fastq.gz
HI.5093.003.IDT_i7_140---IDT_i5_140.FSH_038,lib_HI.5093.003.IDT_i7_140---IDT_i5_140.FSH_038,GCF_902500615.1_NSP_V7_genomic,11,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/HI.5093.003.IDT_i7_140---IDT_i5_140.FSH_038_R1.fastq.gz,/scratch/sjsmith/shunda/HI.5093.003.IDT_i7_140---IDT_i5_140.FSH_038_R2.fastq.gz
HI.5093.003.IDT_i7_150---IDT_i5_150.FSH_010,lib_HI.5093.003.IDT_i7_150---IDT_i5_150.FSH_010,GCF_902500615.1_NSP_V7_genomic,12,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/HI.5093.003.IDT_i7_150---IDT_i5_150.FSH_010_R1.fastq.gz,/scratch/sjsmith/shunda/HI.5093.003.IDT_i7_150---IDT_i5_150.FSH_010_R2.fastq.gz
HI.5093.003.IDT_i7_151---IDT_i5_151.FSH_023,lib_HI.5093.003.IDT_i7_151---IDT_i5_151.FSH_023,GCF_902500615.1_NSP_V7_genomic,13,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/HI.5093.003.IDT_i7_151---IDT_i5_151.FSH_023_R1.fastq.gz,/scratch/sjsmith/shunda/HI.5093.003.IDT_i7_151---IDT_i5_151.FSH_023_R2.fastq.gz
HI.5093.003.IDT_i7_162---IDT_i5_162.FSH_011,lib_HI.5093.003.IDT_i7_162---IDT_i5_162.FSH_011,GCF_902500615.1_NSP_V7_genomic,14,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/HI.5093.003.IDT_i7_162---IDT_i5_162.FSH_011_R1.fastq.gz,/scratch/sjsmith/shunda/HI.5093.003.IDT_i7_162---IDT_i5_162.FSH_011_R2.fastq.gz
HI.5093.003.IDT_i7_163---IDT_i5_163.FSH_024,lib_HI.5093.003.IDT_i7_163---IDT_i5_163.FSH_024,GCF_902500615.1_NSP_V7_genomic,15,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/HI.5093.003.IDT_i7_163---IDT_i5_163.FSH_024_R1.fastq.gz,/scratch/sjsmith/shunda/HI.5093.003.IDT_i7_163---IDT_i5_163.FSH_024_R2.fastq.gz
HI.5093.003.IDT_i7_174---IDT_i5_174.FSH_013,lib_HI.5093.003.IDT_i7_174---IDT_i5_174.FSH_013,GCF_902500615.1_NSP_V7_genomic,16,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/HI.5093.003.IDT_i7_174---IDT_i5_174.FSH_013_R1.fastq.gz,/scratch/sjsmith/shunda/HI.5093.003.IDT_i7_174---IDT_i5_174.FSH_013_R2.fastq.gz
HI.5093.003.IDT_i7_175---IDT_i5_175.FSH_027,lib_HI.5093.003.IDT_i7_175---IDT_i5_175.FSH_027,GCF_902500615.1_NSP_V7_genomic,17,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/HI.5093.003.IDT_i7_175---IDT_i5_175.FSH_027_R1.fastq.gz,/scratch/sjsmith/shunda/HI.5093.003.IDT_i7_175---IDT_i5_175.FSH_027_R2.fastq.gz
HI.5093.003.IDT_i7_186---IDT_i5_186.FSH_014,lib_HI.5093.003.IDT_i7_186---IDT_i5_186.FSH_014,GCF_902500615.1_NSP_V7_genomic,18,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/HI.5093.003.IDT_i7_186---IDT_i5_186.FSH_014_R1.fastq.gz,/scratch/sjsmith/shunda/HI.5093.003.IDT_i7_186---IDT_i5_186.FSH_014_R2.fastq.gz
HI.5093.003.IDT_i7_187---IDT_i5_187.FSH_029,lib_HI.5093.003.IDT_i7_187---IDT_i5_187.FSH_029,GCF_902500615.1_NSP_V7_genomic,19,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/HI.5093.003.IDT_i7_187---IDT_i5_187.FSH_029_R1.fastq.gz,/scratch/sjsmith/shunda/HI.5093.003.IDT_i7_187---IDT_i5_187.FSH_029_R2.fastq.gz
HI.5093.004.IDT_i7_106---IDT_i5_106.FSH_077,lib_HI.5093.004.IDT_i7_106---IDT_i5_106.FSH_077,GCF_902500615.1_NSP_V7_genomic,20,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/HI.5093.004.IDT_i7_106---IDT_i5_106.FSH_077_R1.fastq.gz,/scratch/sjsmith/shunda/HI.5093.004.IDT_i7_106---IDT_i5_106.FSH_077_R2.fastq.gz
HI.5093.004.IDT_i7_118---IDT_i5_118.FSH_079,lib_HI.5093.004.IDT_i7_118---IDT_i5_118.FSH_079,GCF_902500615.1_NSP_V7_genomic,21,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/HI.5093.004.IDT_i7_118---IDT_i5_118.FSH_079_R1.fastq.gz,/scratch/sjsmith/shunda/HI.5093.004.IDT_i7_118---IDT_i5_118.FSH_079_R2.fastq.gz
HI.5093.004.IDT_i7_142---IDT_i5_142.FSH_081,lib_HI.5093.004.IDT_i7_142---IDT_i5_142.FSH_081,GCF_902500615.1_NSP_V7_genomic,22,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/HI.5093.004.IDT_i7_142---IDT_i5_142.FSH_081_R1.fastq.gz,/scratch/sjsmith/shunda/HI.5093.004.IDT_i7_142---IDT_i5_142.FSH_081_R2.fastq.gz
HI.5093.004.IDT_i7_154---IDT_i5_154.FSH_083,lib_HI.5093.004.IDT_i7_154---IDT_i5_154.FSH_083,GCF_902500615.1_NSP_V7_genomic,23,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/HI.5093.004.IDT_i7_154---IDT_i5_154.FSH_083_R1.fastq.gz,/scratch/sjsmith/shunda/HI.5093.004.IDT_i7_154---IDT_i5_154.FSH_083_R2.fastq.gz
HI.5093.004.IDT_i7_166---IDT_i5_166.FSH_091,lib_HI.5093.004.IDT_i7_166---IDT_i5_166.FSH_091,GCF_902500615.1_NSP_V7_genomic,24,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/HI.5093.004.IDT_i7_166---IDT_i5_166.FSH_091_R1.fastq.gz,/scratch/sjsmith/shunda/HI.5093.004.IDT_i7_166---IDT_i5_166.FSH_091_R2.fastq.gz
HI.5093.004.IDT_i7_178---IDT_i5_178.FSH_097,lib_HI.5093.004.IDT_i7_178---IDT_i5_178.FSH_097,GCF_902500615.1_NSP_V7_genomic,25,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/HI.5093.004.IDT_i7_178---IDT_i5_178.FSH_097_R1.fastq.gz,/scratch/sjsmith/shunda/HI.5093.004.IDT_i7_178---IDT_i5_178.FSH_097_R2.fastq.gz
HI.5093.004.IDT_i7_189---IDT_i5_189.FSH_076,lib_HI.5093.004.IDT_i7_189---IDT_i5_189.FSH_076,GCF_902500615.1_NSP_V7_genomic,26,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/HI.5093.004.IDT_i7_189---IDT_i5_189.FSH_076_R1.fastq.gz,/scratch/sjsmith/shunda/HI.5093.004.IDT_i7_189---IDT_i5_189.FSH_076_R2.fastq.gz
HI.5093.004.IDT_i7_190---IDT_i5_190.FSH_099,lib_HI.5093.004.IDT_i7_190---IDT_i5_190.FSH_099,GCF_902500615.1_NSP_V7_genomic,27,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/HI.5093.004.IDT_i7_190---IDT_i5_190.FSH_099_R1.fastq.gz,/scratch/sjsmith/shunda/HI.5093.004.IDT_i7_190---IDT_i5_190.FSH_099_R2.fastq.gz
HI.5093.004.IDT_i7_192---IDT_i5_192.FSH_080,lib_HI.5093.004.IDT_i7_192---IDT_i5_192.FSH_080,GCF_902500615.1_NSP_V7_genomic,28,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/HI.5093.004.IDT_i7_192---IDT_i5_192.FSH_080_R1.fastq.gz,/scratch/sjsmith/shunda/HI.5093.004.IDT_i7_192---IDT_i5_192.FSH_080_R2.fastq.gz
HI.5101.002.IDT_i7_105---IDT_i5_105.FSH_044,lib_HI.5101.002.IDT_i7_105---IDT_i5_105.FSH_044,GCF_902500615.1_NSP_V7_genomic,29,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/HI.5101.002.IDT_i7_105---IDT_i5_105.FSH_044_R1.fastq.gz,/scratch/sjsmith/shunda/HI.5101.002.IDT_i7_105---IDT_i5_105.FSH_044_R2.fastq.gz
HI.5101.002.IDT_i7_117---IDT_i5_117.FSH_056,lib_HI.5101.002.IDT_i7_117---IDT_i5_117.FSH_056,GCF_902500615.1_NSP_V7_genomic,30,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/HI.5101.002.IDT_i7_117---IDT_i5_117.FSH_056_R1.fastq.gz,/scratch/sjsmith/shunda/HI.5101.002.IDT_i7_117---IDT_i5_117.FSH_056_R2.fastq.gz
HI.5101.002.IDT_i7_129---IDT_i5_129.FSH_065,lib_HI.5101.002.IDT_i7_129---IDT_i5_129.FSH_065,GCF_902500615.1_NSP_V7_genomic,31,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/HI.5101.002.IDT_i7_129---IDT_i5_129.FSH_065_R1.fastq.gz,/scratch/sjsmith/shunda/HI.5101.002.IDT_i7_129---IDT_i5_129.FSH_065_R2.fastq.gz
HI.5101.002.IDT_i7_141---IDT_i5_141.FSH_066,lib_HI.5101.002.IDT_i7_141---IDT_i5_141.FSH_066,GCF_902500615.1_NSP_V7_genomic,32,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/HI.5101.002.IDT_i7_141---IDT_i5_141.FSH_066_R1.fastq.gz,/scratch/sjsmith/shunda/HI.5101.002.IDT_i7_141---IDT_i5_141.FSH_066_R2.fastq.gz
HI.5101.002.IDT_i7_152---IDT_i5_152.FSH_039,lib_HI.5101.002.IDT_i7_152---IDT_i5_152.FSH_039,GCF_902500615.1_NSP_V7_genomic,33,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/HI.5101.002.IDT_i7_152---IDT_i5_152.FSH_039_R1.fastq.gz,/scratch/sjsmith/shunda/HI.5101.002.IDT_i7_152---IDT_i5_152.FSH_039_R2.fastq.gz
HI.5101.002.IDT_i7_153---IDT_i5_153.FSH_067,lib_HI.5101.002.IDT_i7_153---IDT_i5_153.FSH_067,GCF_902500615.1_NSP_V7_genomic,34,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/HI.5101.002.IDT_i7_153---IDT_i5_153.FSH_067_R1.fastq.gz,/scratch/sjsmith/shunda/HI.5101.002.IDT_i7_153---IDT_i5_153.FSH_067_R2.fastq.gz
HI.5101.002.IDT_i7_164---IDT_i5_164.FSH_041,lib_HI.5101.002.IDT_i7_164---IDT_i5_164.FSH_041,GCF_902500615.1_NSP_V7_genomic,35,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/HI.5101.002.IDT_i7_164---IDT_i5_164.FSH_041_R1.fastq.gz,/scratch/sjsmith/shunda/HI.5101.002.IDT_i7_164---IDT_i5_164.FSH_041_R2.fastq.gz
HI.5101.002.IDT_i7_165---IDT_i5_165.FSH_071,lib_HI.5101.002.IDT_i7_165---IDT_i5_165.FSH_071,GCF_902500615.1_NSP_V7_genomic,36,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/HI.5101.002.IDT_i7_165---IDT_i5_165.FSH_071_R1.fastq.gz,/scratch/sjsmith/shunda/HI.5101.002.IDT_i7_165---IDT_i5_165.FSH_071_R2.fastq.gz
HI.5101.002.IDT_i7_176---IDT_i5_176.FSH_042,lib_HI.5101.002.IDT_i7_176---IDT_i5_176.FSH_042,GCF_902500615.1_NSP_V7_genomic,37,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/HI.5101.002.IDT_i7_176---IDT_i5_176.FSH_042_R1.fastq.gz,/scratch/sjsmith/shunda/HI.5101.002.IDT_i7_176---IDT_i5_176.FSH_042_R2.fastq.gz
HI.5101.002.IDT_i7_177---IDT_i5_177.FSH_074,lib_HI.5101.002.IDT_i7_177---IDT_i5_177.FSH_074,GCF_902500615.1_NSP_V7_genomic,38,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/HI.5101.002.IDT_i7_177---IDT_i5_177.FSH_074_R1.fastq.gz,/scratch/sjsmith/shunda/HI.5101.002.IDT_i7_177---IDT_i5_177.FSH_074_R2.fastq.gz
HI.5101.002.IDT_i7_188---IDT_i5_188.FSH_043,lib_HI.5101.002.IDT_i7_188---IDT_i5_188.FSH_043,GCF_902500615.1_NSP_V7_genomic,39,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/HI.5101.002.IDT_i7_188---IDT_i5_188.FSH_043_R1.fastq.gz,/scratch/sjsmith/shunda/HI.5101.002.IDT_i7_188---IDT_i5_188.FSH_043_R2.fastq.gz
NS.1368.004.IDT_i7_101---IDT_i5_101.SH-19-035,lib_NS.1368.004.IDT_i7_101---IDT_i5_101.SH-19-035,GCF_902500615.1_NSP_V7_genomic,40,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_101---IDT_i5_101.SH-19-035_R1.fastq.gz,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_101---IDT_i5_101.SH-19-035_R2.fastq.gz
NS.1368.004.IDT_i7_104---IDT_i5_104.SH-19-048,lib_NS.1368.004.IDT_i7_104---IDT_i5_104.SH-19-048,GCF_902500615.1_NSP_V7_genomic,41,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_104---IDT_i5_104.SH-19-048_R1.fastq.gz,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_104---IDT_i5_104.SH-19-048_R2.fastq.gz
NS.1368.004.IDT_i7_10---IDT_i5_10.SH-19-001,lib_NS.1368.004.IDT_i7_10---IDT_i5_10.SH-19-001,GCF_902500615.1_NSP_V7_genomic,42,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_10---IDT_i5_10.SH-19-001_R1.fastq.gz,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_10---IDT_i5_10.SH-19-001_R2.fastq.gz
NS.1368.004.IDT_i7_111---IDT_i5_111.SH-19-027,lib_NS.1368.004.IDT_i7_111---IDT_i5_111.SH-19-027,GCF_902500615.1_NSP_V7_genomic,43,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_111---IDT_i5_111.SH-19-027_R1.fastq.gz,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_111---IDT_i5_111.SH-19-027_R2.fastq.gz
NS.1368.004.IDT_i7_113---IDT_i5_113.SH-19-036,lib_NS.1368.004.IDT_i7_113---IDT_i5_113.SH-19-036,GCF_902500615.1_NSP_V7_genomic,44,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_113---IDT_i5_113.SH-19-036_R1.fastq.gz,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_113---IDT_i5_113.SH-19-036_R2.fastq.gz
NS.1368.004.IDT_i7_116---IDT_i5_116.SH-19-049,lib_NS.1368.004.IDT_i7_116---IDT_i5_116.SH-19-049,GCF_902500615.1_NSP_V7_genomic,45,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_116---IDT_i5_116.SH-19-049_R1.fastq.gz,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_116---IDT_i5_116.SH-19-049_R2.fastq.gz
NS.1368.004.IDT_i7_11---IDT_i5_11.SH-19-009,lib_NS.1368.004.IDT_i7_11---IDT_i5_11.SH-19-009,GCF_902500615.1_NSP_V7_genomic,46,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_11---IDT_i5_11.SH-19-009_R1.fastq.gz,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_11---IDT_i5_11.SH-19-009_R2.fastq.gz
NS.1368.004.IDT_i7_123---IDT_i5_123.SH-19-028,lib_NS.1368.004.IDT_i7_123---IDT_i5_123.SH-19-028,GCF_902500615.1_NSP_V7_genomic,47,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_123---IDT_i5_123.SH-19-028_R1.fastq.gz,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_123---IDT_i5_123.SH-19-028_R2.fastq.gz
NS.1368.004.IDT_i7_125---IDT_i5_125.SH-19-037,lib_NS.1368.004.IDT_i7_125---IDT_i5_125.SH-19-037,GCF_902500615.1_NSP_V7_genomic,48,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_125---IDT_i5_125.SH-19-037_R1.fastq.gz,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_125---IDT_i5_125.SH-19-037_R2.fastq.gz
NS.1368.004.IDT_i7_128---IDT_i5_128.SH-19-050,lib_NS.1368.004.IDT_i7_128---IDT_i5_128.SH-19-050,GCF_902500615.1_NSP_V7_genomic,49,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_128---IDT_i5_128.SH-19-050_R1.fastq.gz,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_128---IDT_i5_128.SH-19-050_R2.fastq.gz
NS.1368.004.IDT_i7_12---IDT_i5_12.SH-19-018,lib_NS.1368.004.IDT_i7_12---IDT_i5_12.SH-19-018,GCF_902500615.1_NSP_V7_genomic,50,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_12---IDT_i5_12.SH-19-018_R1.fastq.gz,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_12---IDT_i5_12.SH-19-018_R2.fastq.gz
NS.1368.004.IDT_i7_135---IDT_i5_135.SH-19-029,lib_NS.1368.004.IDT_i7_135---IDT_i5_135.SH-19-029,GCF_902500615.1_NSP_V7_genomic,51,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_135---IDT_i5_135.SH-19-029_R1.fastq.gz,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_135---IDT_i5_135.SH-19-029_R2.fastq.gz
NS.1368.004.IDT_i7_137---IDT_i5_137.SH-19-039,lib_NS.1368.004.IDT_i7_137---IDT_i5_137.SH-19-039,GCF_902500615.1_NSP_V7_genomic,52,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_137---IDT_i5_137.SH-19-039_R1.fastq.gz,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_137---IDT_i5_137.SH-19-039_R2.fastq.gz
NS.1368.004.IDT_i7_13---IDT_i5_13.SH-19-044,lib_NS.1368.004.IDT_i7_13---IDT_i5_13.SH-19-044,GCF_902500615.1_NSP_V7_genomic,53,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_13---IDT_i5_13.SH-19-044_R1.fastq.gz,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_13---IDT_i5_13.SH-19-044_R2.fastq.gz
NS.1368.004.IDT_i7_140---IDT_i5_140.SH-19-051,lib_NS.1368.004.IDT_i7_140---IDT_i5_140.SH-19-051,GCF_902500615.1_NSP_V7_genomic,54,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_140---IDT_i5_140.SH-19-051_R1.fastq.gz,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_140---IDT_i5_140.SH-19-051_R2.fastq.gz
NS.1368.004.IDT_i7_147---IDT_i5_147.SH-19-030,lib_NS.1368.004.IDT_i7_147---IDT_i5_147.SH-19-030,GCF_902500615.1_NSP_V7_genomic,55,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_147---IDT_i5_147.SH-19-030_R1.fastq.gz,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_147---IDT_i5_147.SH-19-030_R2.fastq.gz
NS.1368.004.IDT_i7_149---IDT_i5_149.SH-19-040,lib_NS.1368.004.IDT_i7_149---IDT_i5_149.SH-19-040,GCF_902500615.1_NSP_V7_genomic,56,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_149---IDT_i5_149.SH-19-040_R1.fastq.gz,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_149---IDT_i5_149.SH-19-040_R2.fastq.gz
NS.1368.004.IDT_i7_152---IDT_i5_152.SH-19-052,lib_NS.1368.004.IDT_i7_152---IDT_i5_152.SH-19-052,GCF_902500615.1_NSP_V7_genomic,57,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_152---IDT_i5_152.SH-19-052_R1.fastq.gz,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_152---IDT_i5_152.SH-19-052_R2.fastq.gz
NS.1368.004.IDT_i7_159---IDT_i5_159.SH-19-031,lib_NS.1368.004.IDT_i7_159---IDT_i5_159.SH-19-031,GCF_902500615.1_NSP_V7_genomic,58,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_159---IDT_i5_159.SH-19-031_R1.fastq.gz,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_159---IDT_i5_159.SH-19-031_R2.fastq.gz
NS.1368.004.IDT_i7_161---IDT_i5_161.SH-19-045,lib_NS.1368.004.IDT_i7_161---IDT_i5_161.SH-19-045,GCF_902500615.1_NSP_V7_genomic,59,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_161---IDT_i5_161.SH-19-045_R1.fastq.gz,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_161---IDT_i5_161.SH-19-045_R2.fastq.gz
NS.1368.004.IDT_i7_164---IDT_i5_164.SH-19-053,lib_NS.1368.004.IDT_i7_164---IDT_i5_164.SH-19-053,GCF_902500615.1_NSP_V7_genomic,60,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_164---IDT_i5_164.SH-19-053_R1.fastq.gz,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_164---IDT_i5_164.SH-19-053_R2.fastq.gz
NS.1368.004.IDT_i7_172---IDT_i5_172.SH-19-033,lib_NS.1368.004.IDT_i7_172---IDT_i5_172.SH-19-033,GCF_902500615.1_NSP_V7_genomic,61,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_172---IDT_i5_172.SH-19-033_R1.fastq.gz,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_172---IDT_i5_172.SH-19-033_R2.fastq.gz
NS.1368.004.IDT_i7_173---IDT_i5_173.SH-19-046,lib_NS.1368.004.IDT_i7_173---IDT_i5_173.SH-19-046,GCF_902500615.1_NSP_V7_genomic,62,Pungitius_pungitius,NaN,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_173---IDT_i5_173.SH-19-046_R1.fastq.gz,/scratch/sjsmith/shunda/NS.1368.004.IDT_i7_173---IDT_i5_173.SH-19-046_R2.fastq.gz
